U0,U1,err_U1,U2,err_U2
552,0.3996774193548387,0.0048070060785383,0.053161290322580525,0.00221244234832014
553,0.3330967741935484,0.0048532237881479,0.05787096774193514,0.0036732591415545705
554,0.2899354838709677,0.0064665002690791,0.05187096774193538,0.0011319533358775701
555,0.242516129032258,0.0051758271256098,0.053032258064516107,0.0029767730463964802
556,0.2138709677419354,0.0074871675561572,0.05477419354838671,0.0029167121475635704
557,0.1829032258064516,0.0036603324317623,0.05090322580645129,0.00111093365516893
558,0.1623870967741935,0.0050930395230326,0.05180645161290317,0.00247033838286983
559,0.1486451612903225,0.0036968062481161,0.050709677419354664,0.00235165764922609
560,0.1370322580645161,0.0042056744719258,0.05238709677419354,0.00224733650199111
561,0.1389677419354838,0.0059415488377054,0.05599999999999965,0.00283739271623622
562,0.1217419354838709,0.0047093166779516,0.0547096774193545,0.0018270247658415098
563,0.12,0.0039200313950482,0.0547096774193545,0.00266638349986994
564,0.1153548387096774,0.0057524812359852,0.05277419354838679,0.0023073894243341698
565,0.1039354838709677,0.004960109729228,0.051290322580645024,0.0017925023353707599
566,0.1095483870967741,0.004305203197969,0.05025806451612872,0.00076052225791221
567,0.1089677419354838,0.0045079301104302,0.053032258064516107,0.0019270388506103101
568,0.1008387096774193,0.0047897988821401,0.05193548387096759,0.00160498384951771
569,0.1035483870967741,0.0048780494279384,0.0501290322580643,0.00105170134968909
570,0.0938709677419354,0.0039708958386207,0.04954838709677394,0.00073594340194176
571,0.1058709677419354,0.0062772284842229,0.05025806451612872,0.0012673732685381
572,0.0961935483870967,0.0052199513684582,0.057032258064515944,0.0041356102967387495
573,0.0886451612903225,0.0048316736203803,0.05335483870967715,0.00249905586453382
574,0.0834193548387096,0.0047961791159214,0.051225806451612815,0.00142675668888568
575,0.092516129032258,0.0044683259553214,0.058838709677419235,0.0032252270710762306
576,0.0927096774193548,0.0044762748184739,0.051290322580645024,0.0011409602214874502
577,0.0838064516129032,0.0040411252075567,0.053161290322580525,0.0018781049312797103
578,0.0886451612903225,0.0066149437273206,0.05354838709677378,0.0030428707869526303
579,0.0934838709677419,0.006416950995759,0.0511612903225806,0.00152006688195528
